NN,XX,YY
AMBAR,-77.2833,-10.75
LAS ZORRAS,-78.05,-10.2667
HUARMEY,-78.1667,-10.0833
PUNTA CULEBRAS,-78.1818,-9.99771
TOCANCA,-77.9833,-8.86667
HUACATAMBO,-78.4167,-9.23333
QUILLO,-78.0333,-9.33333
SAN JACINTO DE NEPE,-78.1718,-9.2702
BUENA VISTA,-78.2,-9.43333
CHACCHAN,-77.7753,-9.53519
PARIACOTO,-77.8897,-9.55939
PIRA,-77.707,-9.58325
YAUTAN,-78,-9.51667
CAJAMARQUILLA,-77.7411,-9.63289
QUIAN,-77.95,-9.76667
HIDROELECTRICA,-77.85,-9.81667
HUANCAPETI,-77.5333,-9.75
AIJA,-77.607,-9.78136
SAN DIEGO,-78.1,-10.1
LA MERCED,-77.6833,-9.7
HUAYAN,-77.7167,-9.88333
COTAPARACO,-77.5833,-9.98333
MALVAS,-77.65,-9.93333
TAPACOCHA,-77.5667,-10
CHIMBOTE OCEANO,-78.6,-9.06667
ALTO PERU,-78.5896,-8.99817
SANTA,-78.6167,-8.98333
HUACAMARCANGA,-78.293,-8.12147
CACHICADAN,-78.1494,-8.09181
CACHICADAN,-78.15,-8.1
MOLLEPATA,-77.9542,-8.19156
SANTIAGO DE CHUCO,-78.1667,-8.13333
CONCHUCOS,-77.85,-8.26667
CABANA,-78.002,-8.35319
CORONGO,-77.9,-8.56667
LA PAMPA,-77.8833,-8.66667
RINCONADA,-78.5667,-8.9
HIDRO,-77.85,-8.8
PASHPAP,-77.9833,-8.76667
QUISTICOCHA,-77.95,-8.83333
QUITACOCHA,-77.9667,-8.86667
CHIMBOTE,-78.5419,-9.0691
TOCANCA,-77.8333,-8.86667
LOS CEDROS,-77.8167,-8.86667
CARAZ,-77.8167,-9.05
CARAZ,-77.8,-9.05
PARON,-77.6833,-9
SANTIAGO ANTUNEZ DE MAYOLO,-77.7833,-9.06667
LLANGANUCO,-77.65,-9.08333
YUNGAY,-77.7507,-9.14964
YUNGAY,-77.7659,-9.17286
TINGUA,-77.6833,-9.21667
CHANCOS,-77.5667,-9.31667
ANTA,-77.6,-9.35
HUARAZ - UNASAM,-77.5249,-9.51653
HUARAZ,-77.5333,-9.53333
HUARAZ,-77.5333,-9.53333
QUEROCOCHA # 4,-77.3333,-9.71667
SAN LORENZO # 5,-77.3667,-9.75
SHACAYPAMPA,-77.3833,-9.76667
TICAPAMPA,-77.45,-9.75
QUIRUNCANCHA,-77.5,-9.73333
RECUAY,-77.4538,-9.72919
LAGUNA UTUTO,-77.5,-9.68333
COLLOTA,-77.3667,-9.95
LAMPAS ALTO # 2,-77.2333,-10.1167
MILPO,-77.2333,-9.88333
PACHACOTO,-77.4,-9.85
RECRETA,-77.3167,-10.0333
CONOCOCHA,-77.3,-10.1167
YANACOCHA,-77.2167,-10.0333
PUNTA MOJON,-77.2167,-10.15
SALAVERRY,-78.9667,-8.21667
HACIENDA TOMABAL,-78.6833,-8.41667
VIRU,-78.75,-8.41667
SINSICAP,-78.7559,-7.85092
OTUZCO,-78.5667,-7.9
QUIRUVILCA,-78.3077,-8.00422
SALPO,-78.6071,-8.00533
