,MILLOC,LA PIRHUA,TAMBORAQUE,BELLAVISTA,RIO BLANCO,SAN JOSE DE PARAC,CASAPALCA,TICLIO
1/11/1991,45.81189346,38.51951218,22.34174347,39.15416336,37.689785,19.49134254,39.15416336,44.28172302
1/12/1991,73.52417755,42.32493591,24.67205429,55.05900574,43.75750732,24.9434433,55.05900574,65.96876526
1/01/1992,58.78772354,47.06069946,32.32096863,41.25862122,35.53715897,32.91704178,41.25862122,39.09744644
1/02/1992,51.79771423,60.40024567,53.6601181,49.74025726,61.70029449,45.14542389,49.74025726,59.12796783
1/03/1992,111.4311066,63.85910034,43.82996368,77.06053925,57.41008759,52.17643356,77.06053925,88.0166626
1/04/1992,37.05282974,21.96002197,15.50372791,35.68441772,19.36739731,21.95973587,35.68441772,38.70346832
1/05/1992,7.598381042,3.446292639,0.982203722,4.435697556,1.863417149,1.357443929,4.435697556,5.21928215
1/06/1992,4.328371048,2.729774714,1.47070837,5.010862827,2.98089695,1.412767529,5.010862827,9.040974617
1/07/1992,8.223144531,2.699443102,0.339737356,6.600984573,0.826478243,0.316675365,6.600984573,9.732098579
1/08/1992,19.51922417,6.5811553,1.15059042,10.75806904,2.31751132,1.826920033,10.75806904,12.98643875
1/09/1992,16.76861572,9.853088379,4.424350262,10.85623837,5.286407471,1.374073863,10.85623837,13.82155991
1/10/1992,68.96470642,47.73314667,19.15289879,68.37340546,42.58616638,33.08124161,68.37340546,83.53511047
1/11/1992,27.17512512,18.96615982,12.02656174,18.59807587,21.84931564,11.84852791,18.59807587,23.07516098
1/12/1992,49.76093292,31.36166191,22.27280998,41.31860352,31.09929466,24.94670296,41.31860352,49.18200302
1/01/1993,168.4976654,138.0702209,85.95376587,133.9264221,99.12086487,116.5190125,133.9264221,84.92299652
1/02/1993,123.5891647,128.3446808,88.13171387,135.8694,126.0876007,120.7048798,135.8694,141.9090118
1/03/1993,164.6358032,138.3014679,110.449028,127.3961182,106.8730927,144.1595306,127.3961182,129.2131805
1/04/1993,85.92280579,53.16396713,33.49748993,73.39511871,38.57173538,42.61966324,73.39511871,86.28714752
1/05/1993,15.83571339,9.506649017,3.206403732,20.96834373,7.656095505,4.791043758,20.96834373,31.35956955
1/06/1993,0.20253256,0.064224586,0.030606583,0.201567635,0.341990322,0.156208053,0.201567635,2.555074215
1/07/1993,5.427364826,1.830045342,0.399294764,4.221389294,1.061339021,0.724266768,4.221389294,8.739393234
1/08/1993,8.707081795,3.418062925,0.676939726,6.022004604,1.195255876,0.900812209,6.022004604,7.796068668
1/09/1993,36.90180588,21.00538254,7.762229919,31.09785652,19.60471916,7.727815151,31.09785652,34.63970947
1/10/1993,84.22170258,61.45069504,27.81642723,77.27695465,56.9357872,46.73538971,77.27695465,113.1726074
1/11/1993,139.2341461,98.74558258,53.13122559,114.050705,103.1933365,69.74047852,114.050705,126.8425751
1/12/1993,224.7770996,142.3731995,94.40840912,164.9851227,114.6968918,117.0715332,164.9851227,167.9665833
1/01/1994,317.0540771,209.8340149,102.0127869,170.6418915,121.1742096,132.121994,170.6418915,131.902771
1/02/1994,56.00780487,105.0465698,113.7573471,164.4904938,173.6212921,171.5762939,164.4904938,153.3947601
1/03/1994,172.52771,129.6100922,83.81464386,143.3521729,107.4780197,128.7197266,143.3521729,152.3831329
1/04/1994,77.8009491,57.2756691,36.95199966,68.06032562,39.66159058,49.69047165,68.06032562,85.56520844
1/05/1994,54.57151413,22.84837723,6.16771698,42.40494156,18.61614609,16.03299904,42.40494156,53.07473755
1/06/1994,15.10321426,6.290615559,1.794959545,12.81684494,4.551481724,2.016213179,12.81684494,11.47475815
1/07/1994,9.158024788,3.018381834,0.39650014,6.78088665,1.763092279,1.402801871,6.78088665,5.093988895
1/08/1994,19.69279671,7.676368713,1.555506587,13.08457375,4.276069641,3.883775711,13.08457375,11.05466843
1/09/1994,62.16674805,31.15070534,9.516914368,44.58190155,26.09512711,12.84649086,44.58190155,45.49173355
1/10/1994,22.70253372,15.33989239,5.821864605,28.66053009,20.43486214,12.30516434,28.66053009,49.24143219
1/11/1994,117.4005814,77.03916168,35.51683044,70.64035797,64.66148376,40.39220047,70.64035797,73.69459534
1/12/1994,246.9671936,122.2917633,67.13877106,129.2489166,93.6525116,91.13072205,129.2489166,135.1143341
1/01/1995,192.2008667,143.0232544,79.33913422,113.2884674,83.16177368,90.32032776,113.2884674,100.5724335
